alpha_s,c_ratio,c_ref,c_sat,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,concentration_ratio,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,particle_mass_hinv_msun,sat_r_over_r200m_median,sat_radius_scale_median,sat_radius_scale_p16,sat_radius_scale_p84,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
1.1,1.3,5.0,6.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,274.0852720513731,143.27725517713347,20.596312872746665,110.21170400149286,1.3,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,0.9236473496415665,0.8803334555675429,0.9633111908527552,4.59847314801658,1.0,0.25,ok,
1.3,1.3,5.0,6.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,281.2810453160295,143.27098600838724,20.916999672993235,117.09305963464887,1.3,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,0.9236473496415665,0.8803334555675429,0.9633111908527552,4.59847314801658,1.0,0.25,ok,
1.1,1.0,5.0,5.0,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,282.6077468752364,151.74552733899995,20.596781978125733,110.26543755811058,1.0,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.0000000003689435,0.9999999992070226,1.0000000007564613,4.59847314801658,1.0,0.25,ok,
1.3,1.0,5.0,5.0,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,289.8865018216465,151.73921524706674,20.91662068580821,117.23066588877136,1.0,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.0000000003689435,0.9999999992070226,1.0000000007564613,4.59847314801658,1.0,0.25,ok,
1.1,0.7,5.0,3.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,293.6473463658645,162.74137405721697,20.59945080358133,110.30652150506606,0.7,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.1024140026072362,1.0465082215941512,1.1719647544949479,4.59847314801658,1.0,0.25,ok,
1.3,0.7,5.0,3.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,301.0273558631172,162.72499153957241,20.918630040220997,117.38373428332363,0.7,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.1024140026072362,1.0465082215941512,1.1719647544949479,4.59847314801658,1.0,0.25,ok,
1.1,0.5,5.0,2.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,302.90982410492666,171.89511652690683,20.59951082064532,110.41519675737433,0.5,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.1947583352797264,1.0860384566492083,1.3388698937984571,4.59847314801658,1.0,0.25,ok,
1.3,0.5,5.0,2.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,310.17089016512136,171.88867565433236,20.91868995030609,117.36352456048274,0.5,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.1947583352797264,1.0860384566492083,1.3388698937984571,4.59847314801658,1.0,0.25,ok,
1.1,0.35,5.0,1.75,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,311.35589342037173,180.26452127257667,20.599094165012136,110.49227798278271,0.35,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.2850618906205447,1.122683136555174,1.5136818249491877,4.59847314801658,1.0,0.25,ok,
0.7,1.3,5.0,6.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,317.76333472565756,143.2399258311758,19.44522595106953,155.07818294341203,1.3,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,0.9236473496415665,0.8803334555675429,0.9633111908527552,4.59847314801658,1.0,0.25,ok,
1.3,0.35,5.0,1.75,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,318.6725434822403,180.260524930806,20.917323160831803,117.49469539060235,0.35,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.2850618906205447,1.122683136555174,1.5136818249491877,4.59847314801658,1.0,0.25,ok,
0.7,1.0,5.0,5.0,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,326.2182974269586,151.729286230589,19.44404389050136,155.04496730586808,1.0,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.0000000003689435,0.9999999992070226,1.0000000007564613,4.59847314801658,1.0,0.25,ok,
0.7,0.7,5.0,3.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,337.2139740035311,162.71618087065607,19.444794332072327,155.05299880080256,0.7,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.1024140026072362,1.0465082215941512,1.1719647544949479,4.59847314801658,1.0,0.25,ok,
0.7,0.5,5.0,2.5,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,346.25473933993635,171.85888018982166,19.449381972484122,154.94647717763038,0.5,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.1947583352797264,1.0860384566492083,1.3388698937984571,4.59847314801658,1.0,0.25,ok,
0.7,0.35,5.0,1.75,3.6555225962534177,3.4122925093230463,1.7813602962219925e-13,354.66011351273204,180.23624337674798,19.4513622319443,154.97250790403962,0.35,0.03999988713084733,0.04,minimal_hod_nfw_profile,0.000531589,800000.0,4082604.0,4252712,170108,170108.0,0.0005315890336544999,2100000000.0,0.40829525033203684,1.2850618906205447,1.122683136555174,1.5136818249491877,4.59847314801658,1.0,0.25,ok,
1.1,1.3,5.0,6.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,387.70241553516036,333.4709468191617,44.225409168471984,10.006059547526492,1.3,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,0.9236986692612013,0.8804366489685346,0.9633690085498399,4.596750995512816,1.0,0.25,ok,
1.3,1.3,5.0,6.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,391.11337077646687,333.47213752654187,44.64965559771744,12.9915776522074,1.3,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,0.9236986692612013,0.8804366489685346,0.9633690085498399,4.596750995512816,1.0,0.25,ok,
0.7,1.3,5.0,6.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,405.0538847484393,333.4376185940521,42.1750669822266,29.44119917216044,1.3,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,0.9236986692612013,0.8804366489685346,0.9633690085498399,4.596750995512816,1.0,0.25,ok,
1.1,1.0,5.0,5.0,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,411.03389115156136,356.80359629624974,44.22674457304522,10.003550282266223,1.0,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.0000000003687424,0.99999999922646,1.00000000075647,4.596750995512816,1.0,0.25,ok,
1.3,1.0,5.0,5.0,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,414.41577840147545,356.7819446674109,44.65041060789611,12.98342312616823,1.0,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.0000000003687424,0.99999999922646,1.00000000075647,4.596750995512816,1.0,0.25,ok,
0.7,1.0,5.0,5.0,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,428.4336222608135,356.7998223598489,42.177648475906196,29.456151425058216,1.0,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.0000000003687424,0.99999999922646,1.00000000075647,4.596750995512816,1.0,0.25,ok,
1.1,0.7,5.0,3.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,439.8107671841257,385.58510838641666,44.2322072816562,9.993451516052708,0.7,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1023373115547914,1.046431278284037,1.1717863290703596,4.596750995512816,1.0,0.25,ok,
1.3,0.7,5.0,3.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,443.23510952139156,385.56999639431893,44.65335381617474,13.01175931089772,0.7,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1023373115547914,1.046431278284037,1.1717863290703596,4.596750995512816,1.0,0.25,ok,
0.7,0.7,5.0,3.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,457.22639884593497,385.58262870899995,42.182821591704055,29.46094854523076,0.7,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1023373115547914,1.046431278284037,1.1717863290703596,4.596750995512816,1.0,0.25,ok,
1.1,0.5,5.0,2.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,464.1322271655045,409.9163187274547,44.23239092879614,9.98351750925344,0.5,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1946050300711661,1.0858928953980072,1.3384865711108607,4.596750995512816,1.0,0.25,ok,
1.3,0.5,5.0,2.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,467.57173026295465,409.9147032002812,44.65442952096928,13.00259754170398,0.5,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1946050300711661,1.0858928953980072,1.3384865711108607,4.596750995512816,1.0,0.25,ok,
0.7,0.5,5.0,2.5,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,481.5532036945288,409.898619189839,42.190869360230685,29.46371514445895,0.5,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.1946050300711661,1.0858928953980072,1.3384865711108607,4.596750995512816,1.0,0.25,ok,
1.1,0.35,5.0,1.75,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,484.7628627633613,430.5430262352867,44.23348997873097,9.986346549343475,0.35,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.2848269796968232,1.1224712964480419,1.5130523422005626,4.596750995512816,1.0,0.25,ok,
1.3,0.35,5.0,1.75,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,488.21265946825287,430.5484556935653,44.65346500638804,13.010738768299378,0.35,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.2848269796968232,1.1224712964480419,1.5130523422005626,4.596750995512816,1.0,0.25,ok,
0.7,0.35,5.0,1.75,3.661812685537261,3.4122925093230463,1.7813602962219925e-13,502.19230101199827,430.53867228969943,42.19472739222852,29.458901330070134,0.35,0.06000006584033906,0.06,minimal_hod_nfw_profile,0.000531589,800000.0,3997549.0,4252712,255163,255163.0,0.0005315890336544999,2100000000.0,0.4086195808271626,1.2848269796968232,1.1224712964480419,1.5130523422005626,4.596750995512816,1.0,0.25,ok,
0.7,1.3,5.0,6.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,849.9577308681074,665.4331662145523,77.05378028036597,107.47078437318889,1.3,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,0.9237914068835963,0.8805054219442666,0.9633943214795246,4.594503043820089,1.0,0.25,ok,
1.3,1.3,5.0,6.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,869.3767171544883,665.462397058234,80.76860338256247,123.14571671369158,1.3,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,0.9237914068835963,0.8805054219442666,0.9633943214795246,4.594503043820089,1.0,0.25,ok,
1.1,1.3,5.0,6.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,886.746803705402,665.4679757996096,80.30174644008812,140.97708146570412,1.3,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,0.9237914068835963,0.8805054219442666,0.9633943214795246,4.594503043820089,1.0,0.25,ok,
0.7,1.0,5.0,5.0,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,899.6531506768936,715.2529514295225,77.06116508689261,107.33903416047826,1.0,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.0000000003681921,0.9999999992392531,1.000000000756414,4.594503043820089,1.0,0.25,ok,
1.3,1.0,5.0,5.0,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,918.9449891183857,715.2285737750886,80.77405149703306,122.94236384626377,1.0,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.0000000003681921,0.9999999992392531,1.000000000756414,4.594503043820089,1.0,0.25,ok,
1.1,1.0,5.0,5.0,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,936.4793091876311,715.2577259361219,80.30752791079802,140.91405534071097,1.0,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.0000000003681921,0.9999999992392531,1.000000000756414,4.594503043820089,1.0,0.25,ok,
