label,split,covariance_mode,f_sat_target,alpha_s,concentration_ratio,c_sat,f_sat_actual,chi2,hartlap_scale
minimal_hod_nfw_profile,wp,diagonal,0.04,1.1,1.3,6.5,0.03999988713084733,1073.636346034467,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.3,1.3,6.5,0.03999988713084733,1073.6349123467248,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.1,1.0,5.0,0.03999988713084733,1131.9652488125746,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.3,1.0,5.0,0.03999988713084733,1131.9523958094815,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.1,0.7,3.5,0.03999988713084733,1209.8882900328895,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.3,0.7,3.5,0.03999988713084733,1209.8600390532426,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.1,0.5,2.5,0.03999988713084733,1277.8080585767648,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.3,0.5,2.5,0.03999988713084733,1277.8229006717775,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.1,0.35,1.75,0.03999988713084733,1343.438573830567,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,0.7,1.3,6.5,0.03999988713084733,1073.1476342179956,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,1.3,0.35,1.75,0.03999988713084733,1343.5002597499533,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,0.7,1.0,5.0,0.03999988713084733,1131.5810944179389,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,0.7,0.7,3.5,0.03999988713084733,1209.491385731637,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,0.7,0.5,2.5,0.03999988713084733,1277.3223023461333,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.04,0.7,0.35,1.75,0.03999988713084733,1343.0282440761084,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.1,1.3,6.5,0.06000006584033906,2585.263220341204,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.3,1.3,6.5,0.06000006584033906,2585.500672968321,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,0.7,1.3,6.5,0.06000006584033906,2584.453569492635,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.1,1.0,5.0,0.06000006584033906,2751.336762601649,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.3,1.0,5.0,0.06000006584033906,2751.43611821637,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,0.7,1.0,5.0,0.06000006584033906,2750.6761290910326,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.1,0.7,3.5,0.06000006584033906,2967.4025474729187,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.3,0.7,3.5,0.06000006584033906,2967.541568006791,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,0.7,0.7,3.5,0.06000006584033906,2966.8305591387953,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.1,0.5,2.5,0.06000006584033906,3158.6731557677003,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.3,0.5,2.5,0.06000006584033906,3158.9323959808876,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,0.7,0.5,2.5,0.06000006584033906,3158.028631083731,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.1,0.35,1.75,0.06000006584033906,3336.047839988775,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,1.3,0.35,1.75,0.06000006584033906,3336.458710209451,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.06,0.7,0.35,1.75,0.06000006584033906,3335.5170471141055,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,0.7,1.3,6.5,0.08000000940576273,5150.875629076205,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.3,1.3,6.5,0.08000000940576273,5152.895127778665,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.1,1.3,6.5,0.08000000940576273,5152.163291936452,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,0.7,1.0,5.0,0.08000000940576273,5514.301584206312,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.3,1.0,5.0,0.08000000940576273,5516.094247284821,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.1,1.0,5.0,0.08000000940576273,5515.458738027187,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,0.7,0.7,3.5,0.08000000940576273,5992.0958406684,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.3,0.7,3.5,0.08000000940576273,5993.860510742382,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.1,0.7,3.5,0.08000000940576273,5993.178537727251,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,0.7,0.5,2.5,0.08000000940576273,6407.413269572311,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.3,0.5,2.5,0.08000000940576273,6409.389460554602,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.1,0.5,2.5,0.08000000940576273,6408.593928338059,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,0.7,0.35,1.75,0.08000000940576273,6791.7762008538175,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.3,0.35,1.75,0.08000000940576273,6793.725001910074,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.08,1.1,0.35,1.75,0.08000000940576273,6792.723979663759,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,0.7,1.3,6.5,0.09999995297118638,9192.41110116048,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.3,1.3,6.5,0.09999995297118638,9196.220072431766,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,0.7,1.0,5.0,0.09999995297118638,9888.311085720366,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.1,1.3,6.5,0.09999995297118638,9194.498347867902,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.3,1.0,5.0,0.09999995297118638,9891.992060103963,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,0.7,0.7,3.5,0.09999995297118638,10802.700143474602,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.1,1.0,5.0,0.09999995297118638,9890.230053789011,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.3,0.7,3.5,0.09999995297118638,10806.680584811242,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,0.7,0.5,2.5,0.09999995297118638,11591.186811384025,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.1,0.7,3.5,0.09999995297118638,10804.625172276357,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.3,0.5,2.5,0.09999995297118638,11595.824544832205,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,0.7,0.35,1.75,0.09999995297118638,12314.595106017281,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.1,0.5,2.5,0.09999995297118638,11593.569948262546,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.3,0.35,1.75,0.09999995297118638,12319.373591812277,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.1,1.1,0.35,1.75,0.09999995297118638,12316.887495212311,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,0.7,1.3,6.5,0.11999989653661006,15081.595810297753,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.3,1.3,6.5,0.11999989653661006,15086.185641018625,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,0.7,1.0,5.0,0.11999989653661006,16296.374912865514,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.1,1.3,6.5,0.11999989653661006,15084.410337708601,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.3,1.0,5.0,0.11999989653661006,16300.797019183166,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,0.7,0.7,3.5,0.11999989653661006,17886.306435154944,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.1,1.0,5.0,0.11999989653661006,16298.99227046044,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.3,0.7,3.5,0.11999989653661006,17891.063158163164,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,0.7,0.5,2.5,0.11999989653661006,19252.77980269073,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.1,0.7,3.5,0.11999989653661006,17888.812690034087,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.3,0.5,2.5,0.11999989653661006,19258.589889290386,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,0.7,0.35,1.75,0.11999989653661006,20496.352504469745,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.3,0.35,1.75,0.11999989653661006,20502.626080372673,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.1,0.5,2.5,0.11999989653661006,19256.046857398367,0.8210526315789474
minimal_hod_nfw_profile,wp,diagonal,0.12,1.1,0.35,1.75,0.11999989653661006,20499.51492597781,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.1,1.3,6.5,0.03999988713084733,511.49265840866786,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.3,1.3,6.5,0.03999988713084733,511.53514101630685,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.1,1.0,5.0,0.03999988713084733,541.3504051708071,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.3,1.0,5.0,0.03999988713084733,541.3196107442997,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.1,0.7,3.5,0.03999988713084733,575.3112816861268,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.3,0.7,3.5,0.03999988713084733,575.236969298206,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.1,0.5,2.5,0.03999988713084733,601.3197521679366,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.3,0.5,2.5,0.03999988713084733,601.326523472053,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.1,0.35,1.75,0.03999988713084733,623.1308867795409,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,0.7,1.3,6.5,0.03999988713084733,510.8184876039454,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,1.3,0.35,1.75,0.03999988713084733,623.2466935215983,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,0.7,1.0,5.0,0.03999988713084733,540.808132533325,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,0.7,0.7,3.5,0.03999988713084733,574.734558707936,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,0.7,0.5,2.5,0.03999988713084733,600.5237349635265,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.04,0.7,0.35,1.75,0.03999988713084733,622.398844472243,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.1,1.3,6.5,0.06000006584033906,1246.215260469246,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.3,1.3,6.5,0.06000006584033906,1246.137543475137,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,0.7,1.3,6.5,0.06000006584033906,1245.425385544936,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.1,1.0,5.0,0.06000006584033906,1327.094944135477,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.3,1.0,5.0,0.06000006584033906,1326.7116434769987,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,0.7,1.0,5.0,0.06000006584033906,1326.6394325336908,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.1,0.7,3.5,0.06000006584033906,1414.2019025280133,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.3,0.7,3.5,0.06000006584033906,1413.772802019925,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,0.7,0.7,3.5,0.06000006584033906,1413.87852300168,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.1,0.5,2.5,0.06000006584033906,1484.4937418081129,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.3,0.5,2.5,0.06000006584033906,1484.2527442638248,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,0.7,0.5,2.5,0.06000006584033906,1483.8514040768403,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.1,0.35,1.75,0.06000006584033906,1533.5082805006866,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,1.3,0.35,1.75,0.06000006584033906,1533.5132923532653,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.06,0.7,0.35,1.75,0.06000006584033906,1532.8162639992277,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,0.7,1.3,6.5,0.08000000940576273,2578.8728788176722,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.3,1.3,6.5,0.08000000940576273,2580.2252659840597,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.1,1.3,6.5,0.08000000940576273,2580.1356330160056,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,0.7,1.0,5.0,0.08000000940576273,2736.078703907331,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.3,1.0,5.0,0.08000000940576273,2736.6163517811788,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.1,1.0,5.0,0.08000000940576273,2736.9118583522254,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,0.7,0.7,3.5,0.08000000940576273,2917.6019885252826,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.3,0.7,3.5,0.08000000940576273,2917.592553974308,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.1,0.7,3.5,0.08000000940576273,2917.826803867854,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,0.7,0.5,2.5,0.08000000940576273,3048.217575385416,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.3,0.5,2.5,0.08000000940576273,3048.8741695040612,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.1,0.5,2.5,0.08000000940576273,3048.883653194401,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,0.7,0.35,1.75,0.08000000940576273,3147.0124418887112,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.3,0.35,1.75,0.08000000940576273,3148.0657271510445,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.08,1.1,0.35,1.75,0.08000000940576273,3147.6815533767385,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,0.7,1.3,6.5,0.09999995297118638,4824.080481142777,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.3,1.3,6.5,0.09999995297118638,4825.842865242139,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,0.7,1.0,5.0,0.09999995297118638,5093.680136656239,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.1,1.3,6.5,0.09999995297118638,4826.27161668781,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.3,1.0,5.0,0.09999995297118638,5094.367994370245,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,0.7,0.7,3.5,0.09999995297118638,5409.903782271055,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.1,1.0,5.0,0.09999995297118638,5095.230288707746,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.3,0.7,3.5,0.09999995297118638,5409.852334036516,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,0.7,0.5,2.5,0.09999995297118638,5637.123517853542,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.1,0.7,3.5,0.09999995297118638,5410.25263250173,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.3,0.5,2.5,0.09999995297118638,5638.5105962198095,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,0.7,0.35,1.75,0.09999995297118638,5809.973427830452,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.1,0.5,2.5,0.09999995297118638,5638.478467167965,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.3,0.35,1.75,0.09999995297118638,5811.824902739019,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.1,1.1,0.35,1.75,0.09999995297118638,5811.327353437043,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,0.7,1.3,6.5,0.11999989653661006,8227.532936363432,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,1.3,1.3,6.5,0.11999989653661006,8229.122269109841,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,0.7,1.0,5.0,0.11999989653661006,8667.936306636368,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,1.1,1.3,6.5,0.11999989653661006,8230.024386466335,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,1.3,1.0,5.0,0.11999989653661006,8668.544830391367,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,0.7,0.7,3.5,0.11999989653661006,9167.054586082693,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,1.1,1.0,5.0,0.11999989653661006,8669.953045021723,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,1.3,0.7,3.5,0.11999989653661006,9167.655652216066,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,0.7,0.5,2.5,0.11999989653661006,9537.101138483376,0.8210526315789474
minimal_hod_nfw_profile,wp,full,0.12,1.1,0.7,3.5,0.11999989653661006,9167.670023400075,0.8210526315789474
