model_id,component,n_bins,f_sat_target,alpha_s,f_sat_actual,rms_fractional_residual,mean_abs_fractional_residual,chi2_diag_jk_raw,rms_pull_jk,selected_for_paper,selection_reason,diagcov_chi2_total,diagcov_chi2_cov,diagcov_chi2_total_cov,diagcov_chi2_xi0,diagcov_chi2_xi2,diagcov_chi2_wp,diagcov_rank,fullcov_chi2_total,fullcov_chi2_cov,fullcov_chi2_total_cov,fullcov_chi2_xi0,fullcov_chi2_xi2,fullcov_chi2_wp,fullcov_rank
abacusL500_fsat0p020_alphaS1p000,all,72,0.02,1.0,0.020000300982708545,0.6976568587846359,0.2632829288377617,3730.19055333933,7.197791475842636,1,diagcov_top5,412.0011301030896,863.83360182595,863.833601827334,21.426875867165233,282.3284698585631,108.24578437597738,1,412.0011301030896,1068.1401754230826,1068.1401754244664,21.426875867165233,282.3284698585631,108.24578437597738,10
abacusL500_fsat0p020_alphaS1p000,wp,16,0.02,1.0,0.020000300982708545,0.2601727471355516,0.13147534311694042,921.1299375391943,7.58753063230717,1,diagcov_top5,412.0011301030896,863.83360182595,863.833601827334,21.426875867165233,282.3284698585631,108.24578437597738,1,412.0011301030896,1068.1401754230826,1068.1401754244664,21.426875867165233,282.3284698585631,108.24578437597738,10
abacusL500_fsat0p020_alphaS1p000,xi0,28,0.02,1.0,0.020000300982708545,0.23545407450546202,0.14415031207323367,1212.1094546979953,6.579485039277106,1,diagcov_top5,412.0011301030896,863.83360182595,863.833601827334,21.426875867165233,282.3284698585631,108.24578437597738,1,412.0011301030896,1068.1401754230826,1068.1401754244664,21.426875867165233,282.3284698585631,108.24578437597738,10
abacusL500_fsat0p020_alphaS1p000,xi2,28,0.02,1.0,0.020000300982708545,1.0758532749901761,0.4577341660141876,1596.9511611021403,7.552083820996835,1,diagcov_top5,412.0011301030896,863.83360182595,863.833601827334,21.426875867165233,282.3284698585631,108.24578437597738,1,412.0011301030896,1068.1401754230826,1068.1401754244664,21.426875867165233,282.3284698585631,108.24578437597738,10
abacusL500_fsat0p020_alphaS1p200,all,72,0.02,1.2,0.020000300982708545,0.7247141741845354,0.2647097491586558,3755.182870249195,7.221863862075352,1,diagcov_top5,427.53826012649336,869.6212962682343,869.6212962696183,21.271481772789752,298.0052639016608,108.26151445065894,2,427.53826012649336,1113.7284048807103,1113.728404882094,21.271481772789752,298.0052639016608,108.26151445065894,17
abacusL500_fsat0p020_alphaS1p200,wp,16,0.02,1.2,0.020000300982708545,0.26019120274460544,0.13151531791738696,921.6669697753812,7.589742130728904,1,diagcov_top5,427.53826012649336,869.6212962682343,869.6212962696183,21.271481772789752,298.0052639016608,108.26151445065894,2,427.53826012649336,1113.7284048807103,1113.728404882094,21.271481772789752,298.0052639016608,108.26151445065894,17
abacusL500_fsat0p020_alphaS1p200,xi0,28,0.02,1.2,0.020000300982708545,0.23413981080884164,0.14326998336495222,1229.8324623561857,6.627411858432547,1,diagcov_top5,427.53826012649336,869.6212962682343,869.6212962696183,21.271481772789752,298.0052639016608,108.26151445065894,2,427.53826012649336,1113.7284048807103,1113.728404882094,21.271481772789752,298.0052639016608,108.26151445065894,17
abacusL500_fsat0p020_alphaS1p200,xi2,28,0.02,1.2,0.020000300982708545,1.1211756209934018,0.4622606185187986,1603.683438117628,7.567985762684877,1,diagcov_top5,427.53826012649336,869.6212962682343,869.6212962696183,21.271481772789752,298.0052639016608,108.26151445065894,2,427.53826012649336,1113.7284048807103,1113.728404882094,21.271481772789752,298.0052639016608,108.26151445065894,17
abacusL500_fsat0p030_alphaS0p600,all,72,0.03,0.6,0.02999292690634923,0.5127415768003928,0.2547235267018138,4322.551570997381,7.748253899174622,1,fullcov_top5,386.2578619186479,1001.0119427572879,1001.0119427586718,25.836028831512404,163.81320168121724,196.60863140453435,12,386.2578619186479,1003.7296540519585,1003.7296540533424,25.836028831512404,163.81320168121724,196.60863140453435,3
abacusL500_fsat0p030_alphaS0p600,wp,16,0.03,0.6,0.02999292690634923,0.3505741347683753,0.1832628826971084,1742.1418317165856,10.434743144049431,1,fullcov_top5,386.2578619186479,1001.0119427572879,1001.0119427586718,25.836028831512404,163.81320168121724,196.60863140453435,12,386.2578619186479,1003.7296540519585,1003.7296540533424,25.836028831512404,163.81320168121724,196.60863140453435,3
abacusL500_fsat0p030_alphaS0p600,xi0,28,0.03,0.6,0.02999292690634923,0.2552600012167886,0.16108129338928906,1261.7045189119933,6.712739803942078,1,fullcov_top5,386.2578619186479,1001.0119427572879,1001.0119427586718,25.836028831512404,163.81320168121724,196.60863140453435,12,386.2578619186479,1003.7296540519585,1003.7296540533424,25.836028831512404,163.81320168121724,196.60863140453435,3
abacusL500_fsat0p030_alphaS0p600,xi2,28,0.03,0.6,0.02999292690634923,0.7352898426580609,0.38920041373131326,1318.7052203688013,6.862697356956044,1,fullcov_top5,386.2578619186479,1001.0119427572879,1001.0119427586718,25.836028831512404,163.81320168121724,196.60863140453435,12,386.2578619186479,1003.7296540519585,1003.7296540533424,25.836028831512404,163.81320168121724,196.60863140453435,3
abacusL500_fsat0p030_alphaS0p800,all,72,0.03,0.8,0.02999292690634923,0.46400849368178243,0.23625436483343293,3935.305447369563,7.393038624432787,1,diagcov_top5;fullcov_top5,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,wp,16,0.03,0.8,0.02999292690634923,0.3507185880713906,0.18318558982969246,1743.1771413104962,10.437843231813074,1,diagcov_top5;fullcov_top5,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,xi0,28,0.03,0.8,0.02999292690634923,0.2541443017790372,0.16192794306852568,1277.4032428456176,6.754372242284511,1,diagcov_top5;fullcov_top5,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS0p800,xi2,28,0.03,0.8,0.02999292690634923,0.6471178392132988,0.3409058008861918,914.7250632134486,5.715658514784028,1,diagcov_top5;fullcov_top5,341.2441554937999,911.3338930750564,911.3338930764403,25.899548177499376,118.57155768290015,196.77304963201647,5,341.2441554937999,985.1311811374918,985.1311811388757,25.899548177499376,118.57155768290015,196.77304963201647,1
abacusL500_fsat0p030_alphaS1p000,all,72,0.03,1.0,0.02999292690634923,0.49381239024483825,0.23440230745231055,3916.08544150559,7.3749627508528155,1,diagcov_top5,347.72336595559113,906.8829443486629,906.8829443500468,25.910684144654514,125.31502312666166,196.49765868289109,4,347.72336595559113,1098.0216834066607,1098.0216834080445,25.910684144654514,125.31502312666166,196.49765868289109,12
abacusL500_fsat0p030_alphaS1p000,wp,16,0.03,1.0,0.02999292690634923,0.3504708498586802,0.18295628544006046,1740.1753477282355,10.428852249073946,1,diagcov_top5,347.72336595559113,906.8829443486629,906.8829443500468,25.910684144654514,125.31502312666166,196.49765868289109,4,347.72336595559113,1098.0216834066607,1098.0216834080445,25.910684144654514,125.31502312666166,196.49765868289109,12
abacusL500_fsat0p030_alphaS1p000,xi0,28,0.03,1.0,0.02999292690634923,0.2521629544290132,0.16154689908460576,1311.31104225939,6.843430223473433,1,diagcov_top5,347.72336595559113,906.8829443486629,906.8829443500468,25.910684144654514,125.31502312666166,196.49765868289109,4,347.72336595559113,1098.0216834066607,1098.0216834080445,25.910684144654514,125.31502312666166,196.49765868289109,12
abacusL500_fsat0p030_alphaS1p000,xi2,28,0.03,1.0,0.02999292690634923,0.7023318127251458,0.33665544268415826,864.5990515179643,5.556846007782923,1,diagcov_top5,347.72336595559113,906.8829443486629,906.8829443500468,25.910684144654514,125.31502312666166,196.49765868289109,4,347.72336595559113,1098.0216834066607,1098.0216834080445,25.910684144654514,125.31502312666166,196.49765868289109,12
abacusL500_fsat0p030_alphaS1p200,all,72,0.03,1.2,0.02999292690634923,0.5374304023238597,0.2393168046437682,3950.5138590186825,7.407310445899115,0,,368.03882230561214,914.8558410359055,914.8558410372895,25.547743509487077,146.04254663124658,196.44853216349458,6,368.03882230561214,1169.4110186455785,1169.4110186469622,25.547743509487077,146.04254663124658,196.44853216349458,19
abacusL500_fsat0p030_alphaS1p200,wp,16,0.03,1.2,0.02999292690634923,0.35042600713919664,0.18285960133883342,1739.1384547574148,10.425744741856018,0,,368.03882230561214,914.8558410359055,914.8558410372895,25.547743509487077,146.04254663124658,196.44853216349458,6,368.03882230561214,1169.4110186455785,1169.4110186469622,25.547743509487077,146.04254663124658,196.44853216349458,19
abacusL500_fsat0p030_alphaS1p200,xi0,28,0.03,1.2,0.02999292690634923,0.25044527554300394,0.16096718103403992,1303.3713382556102,6.822681024807755,0,,368.03882230561214,914.8558410359055,914.8558410372895,25.547743509487077,146.04254663124658,196.44853216349458,6,368.03882230561214,1169.4110186455785,1169.4110186469622,25.547743509487077,146.04254663124658,196.44853216349458,19
abacusL500_fsat0p030_alphaS1p200,xi2,28,0.03,1.2,0.02999292690634923,0.7809072081281017,0.34992768728488793,908.0040660056571,5.6946217295847825,0,,368.03882230561214,914.8558410359055,914.8558410372895,25.547743509487077,146.04254663124658,196.44853216349458,6,368.03882230561214,1169.4110186455785,1169.4110186469622,25.547743509487077,146.04254663124658,196.44853216349458,19
abacusL500_fsat0p040_alphaS0p600,all,72,0.04,0.6,0.04000060196541709,0.3812591049765683,0.23567814804060985,5085.3726462882005,8.404176083524884,0,,414.7381590302018,1177.665244403583,1177.6652444049669,31.756122991049473,75.7362281248498,307.2458079129186,16,414.7381590302018,1025.4077824950657,1025.4077824964495,31.756122991049473,75.7362281248498,307.2458079129186,8
abacusL500_fsat0p040_alphaS0p600,wp,16,0.04,0.6,0.04000060196541709,0.43821521267135954,0.23295903441640198,2714.8865860292376,13.026143390383332,0,,414.7381590302018,1177.665244403583,1177.6652444049669,31.756122991049473,75.7362281248498,307.2458079129186,16,414.7381590302018,1025.4077824950657,1025.4077824964495,31.756122991049473,75.7362281248498,307.2458079129186,8
abacusL500_fsat0p040_alphaS0p600,xi0,28,0.04,0.6,0.04000060196541709,0.2665680133777616,0.17512775921561383,1501.7078571402287,7.323416106523914,0,,414.7381590302018,1177.665244403583,1177.6652444049669,31.756122991049473,75.7362281248498,307.2458079129186,16,414.7381590302018,1025.4077824950657,1025.4077824964495,31.756122991049473,75.7362281248498,307.2458079129186,8
abacusL500_fsat0p040_alphaS0p600,xi2,28,0.04,0.6,0.04000060196541709,0.43930354971347635,0.2977823160794389,868.7782031187331,5.570259685914668,0,,414.7381590302018,1177.665244403583,1177.6652444049669,31.756122991049473,75.7362281248498,307.2458079129186,16,414.7381590302018,1025.4077824950657,1025.4077824964495,31.756122991049473,75.7362281248498,307.2458079129186,8
abacusL500_fsat0p040_alphaS0p800,all,72,0.04,0.8,0.04000060196541709,0.3314696991221805,0.2103251775473513,4704.8239372938715,8.083611625187057,1,fullcov_top5,376.39930636778706,1089.5381749522649,1089.5381749536486,31.90022774705389,37.11106969453994,307.3880089248093,15,376.39930636778706,1003.9248622938679,1003.9248622952518,31.90022774705389,37.11106969453994,307.3880089248093,4
abacusL500_fsat0p040_alphaS0p800,wp,16,0.04,0.8,0.04000060196541709,0.4383158910824399,0.23287385352939394,2716.429691196846,13.029844807203302,1,fullcov_top5,376.39930636778706,1089.5381749522649,1089.5381749536486,31.90022774705389,37.11106969453994,307.3880089248093,15,376.39930636778706,1003.9248622938679,1003.9248622952518,31.90022774705389,37.11106969453994,307.3880089248093,4
abacusL500_fsat0p040_alphaS0p800,xi0,28,0.04,0.8,0.04000060196541709,0.2645277019377847,0.17559539640164062,1511.6060563466997,7.347511863468524,1,fullcov_top5,376.39930636778706,1089.5381749522649,1089.5381749536486,31.90022774705389,37.11106969453994,307.3880089248093,15,376.39930636778706,1003.9248622938679,1003.9248622952518,31.90022774705389,37.11106969453994,307.3880089248093,4
abacusL500_fsat0p040_alphaS0p800,xi2,28,0.04,0.8,0.04000060196541709,0.32057789084751925,0.2321700009890377,476.78818975032516,4.12651785818748,1,fullcov_top5,376.39930636778706,1089.5381749522649,1089.5381749536486,31.90022774705389,37.11106969453994,307.3880089248093,15,376.39930636778706,1003.9248622938679,1003.9248622952518,31.90022774705389,37.11106969453994,307.3880089248093,4
abacusL500_fsat0p040_alphaS1p000,all,72,0.04,1.0,0.04000060196541709,0.3504025482143394,0.20754342089955657,4645.491829834214,8.032479060589484,0,,377.6234164968133,1075.7981079616072,1075.798107962991,31.608783735131503,38.79716025313347,307.2174725071644,13,377.6234164968133,1128.2200385891047,1128.2200385904885,31.608783735131503,38.79716025313347,307.2174725071644,18
abacusL500_fsat0p040_alphaS1p000,wp,16,0.04,1.0,0.04000060196541709,0.4381932496874856,0.23277027194940988,2715.167720462862,13.0268178205166,0,,377.6234164968133,1075.7981079616072,1075.798107962991,31.608783735131503,38.79716025313347,307.2174725071644,13,377.6234164968133,1128.2200385891047,1128.2200385904885,31.608783735131503,38.79716025313347,307.2174725071644,18
abacusL500_fsat0p040_alphaS1p000,xi0,28,0.04,1.0,0.04000060196541709,0.26096023569403476,0.17499018305833056,1503.1929800226808,7.327036479521485,0,,377.6234164968133,1075.7981079616072,1075.798107962991,31.608783735131503,38.79716025313347,307.2174725071644,13,377.6234164968133,1128.2200385891047,1128.2200385904885,31.608783735131503,38.79716025313347,307.2174725071644,18
abacusL500_fsat0p040_alphaS1p000,xi2,28,0.04,1.0,0.04000060196541709,0.3713527425374741,0.2256813152837236,427.13112934867104,3.9057244130921434,0,,377.6234164968133,1075.7981079616072,1075.798107962991,31.608783735131503,38.79716025313347,307.2174725071644,13,377.6234164968133,1128.2200385891047,1128.2200385904885,31.608783735131503,38.79716025313347,307.2174725071644,18
abacusL500_fsat0p040_alphaS1p200,all,72,0.04,1.2,0.04000060196541709,0.3887127640115065,0.2177046730994813,4665.968025407783,8.05016220109862,0,,391.3892849333611,1080.5399637786445,1080.5399637800283,31.032681206303923,53.19580094431934,307.16080278135394,14,391.3892849333611,1218.8510928042306,1218.8510928056144,31.032681206303923,53.19580094431934,307.16080278135394,20
abacusL500_fsat0p040_alphaS1p200,wp,16,0.04,1.2,0.04000060196541709,0.43815216776231536,0.2326730167011766,2713.7757143364915,13.02347811247175,0,,391.3892849333611,1080.5399637786445,1080.5399637800283,31.032681206303923,53.19580094431934,307.16080278135394,14,391.3892849333611,1218.8510928042306,1218.8510928056144,31.032681206303923,53.19580094431934,307.16080278135394,20
abacusL500_fsat0p040_alphaS1p200,xi0,28,0.04,1.2,0.04000060196541709,0.2584490556817447,0.17403686568856372,1460.6767929675268,7.222674596039116,0,,391.3892849333611,1080.5399637786445,1080.5399637800283,31.032681206303923,53.19580094431934,307.16080278135394,14,391.3892849333611,1218.8510928042306,1218.8510928056144,31.032681206303923,53.19580094431934,307.16080278135394,20
abacusL500_fsat0p040_alphaS1p200,xi2,28,0.04,1.2,0.04000060196541709,0.4604774452611439,0.2528191413094302,491.5155181037643,4.189764390340227,0,,391.3892849333611,1080.5399637786445,1080.5399637800283,31.032681206303923,53.19580094431934,307.16080278135394,14,391.3892849333611,1218.8510928042306,1218.8510928056144,31.032681206303923,53.19580094431934,307.16080278135394,20
